machine,reason,events,hours
TurboCut 400,System Offline,180,6047.058487944667
Makine 8,Duruş,5647,4122.370406053166
Makine 7,Duruş,6769,3767.5533949031387
Makine 1,Duruş,2624,3109.1548138594444
Makine 5,Duruş,2169,2106.549714406111
Makine 3,Duruş,3306,1871.3415933497222
Makine 9,Duruş,2167,1849.7467332113888
TurboCut 400,Duruş,528,1606.1243047724167
Makine 2,System Offline,456,953.8357025199999
Makine 1,System Offline,456,953.8357025199999
Makine 9,System Offline,456,953.8357025199999
ARES SEIKI  (Fanuc),System Offline,456,953.8357025199999
Makine 3,System Offline,396,952.8888158533333
Makine 7,System Offline,384,952.6861397063333
Makine 8,System Offline,384,952.6861397063333
Makine 2,Duruş,4933,758.5203304611111
Makine 5,System Offline,228,545.3929887166667
Makine 10,System Offline,180,544.9944145433333
Makine 4,System Offline,192,544.9001361623334
Makine 6,System Offline,180,544.900115886
Makine 3,İş Bekliyor,1,0.04306668416666667
